status,path,old_path,category
"M",".gitignore","","OTHER"
"A","docs/product-audit-v2/01-functional-audit-overview.md","","DOCUMENTATION"
"A","docs/product-audit-v2/02-priority-backlog.md","","DOCUMENTATION"
"A","docs/product-audit-v2/03-cycle-01-core-ui-text-loading.md","","DOCUMENTATION"
"A","docs/product-audit-v2/04-cycle-02-mobile-core-layout.md","","DOCUMENTATION"
"A","docs/product-audit-v2/05-cycle-03-routing-modal-empty-states.md","","DOCUMENTATION"
"A","docs/product-audit-v2/06-cycle-04-action-feedback-errors-context.md","","DOCUMENTATION"
"A","docs/product-audit-v2/07-final-closeout.md","","DOCUMENTATION"
"A","docs/product-roadmap-v3/01-roadmap-overview.md","","DOCUMENTATION"
"A","docs/product-roadmap-v3/02-cycle-01-authenticated-runtime-qa.md","","DOCUMENTATION"
"A","docs/product-roadmap-v3/03-cycle-02-finance-workflow-reliability.md","","DOCUMENTATION"
"A","docs/product-roadmap-v3/04-cycle-03-dashboard-decision-usefulness.md","","DOCUMENTATION"
"A","docs/product-roadmap-v3/05-cycle-04-student-experience-continuity.md","","DOCUMENTATION"
"A","docs/product-roadmap-v3/06-cycle-05-operational-observability-admin.md","","DOCUMENTATION"
"A","docs/product-roadmap-v3/07-cycle-06-performance-final-hardening.md","","DOCUMENTATION"
"A","docs/product-roadmap-v3/08-roadmap-v3-closeout.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/01-local-remote-migration-audit.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/02-schema-equivalence-audit.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/03-reconciliation-plan.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/04-reconciliation-evidence-review.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/05-reconciliation-design.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/06-security-reconciliation-implementation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/07-security-reconciliation-validation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/08-security-reconciliation-precommit-audit.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/09-constraint-nullability-reconciliation-implementation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/10-constraint-nullability-reconciliation-validation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/11-function-reconciliation-audit.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/12-function-scope-manual-review.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/13-function-reconciliation-evidence-review.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/14-function-security-reconciliation-implementation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/15-group-a-function-evidence-collection.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/16-group-a-security-reconciliation-implementation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/17-group-a-security-reconciliation-validation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/18-post-phase34-global-reconciliation-audit.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/19-final-security-drift-resolution.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/20-workout-delivery-final-reconciliation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/21-student-identity-deployment-design.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/22-production-reconciliation-package-design.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/23-production-cutover-review.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/24-production-cutover-authorization-review.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/25-cutover-backup-preparation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/26-cutover-backup-verification.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/27-step01-workout-delivery-precheck.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/28-step01-workout-delivery-final-authorization-review.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/29-step01-workout-delivery-executable-smoke.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/29-step01-workout-delivery-production-apply.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/30-step02-student-identity-precheck.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/31-step02-student-identity-production-apply.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/32-step03-security-precheck.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/33-step03-security-production-apply.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/34-step04-required-fields-precheck.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/35-step04-required-fields-production-apply.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/36-step05-aoe-security-precheck.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/37-step05-aoe-security-production-apply.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/38-step06-group-a-security-precheck.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/39-step06-group-a-security-production-apply.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/40-production-migration-history-alignment-discovery.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/41-production-migration-history-alignment-plan.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/42-migration-repair-bootstrap-validation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/43-production-migration-history-alignment-apply.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/44-post-alignment-validation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/45-reference-only-baseline-separation.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/46-db-push-dry-run-final.md","","DOCUMENTATION"
"A","docs/supabase-production-sync/47-final-ci-cd-review-and-closeout.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/01-current-state-audit.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/02-data-and-authorization-audit.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/03-functional-contract.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/04-implementation-plan.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/05-risk-register.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/06-data-and-authorization-implementation.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/07-data-and-authorization-validation.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/08-service-integration.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/10-professional-ui-implementation.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/11-professional-ui-validation.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/12-student-experience-audit.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/13-student-experience-implementation.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/14-student-experience-validation.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/15-student-identity-contract.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/16-student-identity-implementation.md","","DOCUMENTATION"
"A","docs/workout-delivery-integration-v1/17-student-identity-validation.md","","DOCUMENTATION"
"M","package.json","","PACKAGE_METADATA"
"A","reports/product-audit-v2/cycle-01-result.json","","REPORTS"
"A","reports/product-audit-v2/cycle-01-summary.md","","REPORTS"
"A","reports/product-audit-v2/cycle-02-mobile-matrix.csv","","REPORTS"
"A","reports/product-audit-v2/cycle-02-result.json","","REPORTS"
"A","reports/product-audit-v2/cycle-02-summary.md","","REPORTS"
"A","reports/product-audit-v2/cycle-03-empty-state-matrix.csv","","REPORTS"
"A","reports/product-audit-v2/cycle-03-modal-matrix.csv","","REPORTS"
"A","reports/product-audit-v2/cycle-03-result.json","","REPORTS"
"A","reports/product-audit-v2/cycle-03-summary.md","","REPORTS"
"A","reports/product-audit-v2/cycle-04-action-feedback-matrix.csv","","REPORTS"
"A","reports/product-audit-v2/cycle-04-error-feedback-matrix.csv","","REPORTS"
"A","reports/product-audit-v2/cycle-04-result.json","","REPORTS"
"A","reports/product-audit-v2/cycle-04-student-context-matrix.csv","","REPORTS"
"A","reports/product-audit-v2/cycle-04-summary.md","","REPORTS"
"A","reports/product-audit-v2/final-closeout-result.json","","REPORTS"
"A","reports/product-audit-v2/final-closeout-summary.md","","REPORTS"
"A","reports/product-audit-v2/final-findings-matrix.csv","","REPORTS"
"A","reports/product-audit-v2/functional-audit-findings.csv","","REPORTS"
"A","reports/product-audit-v2/functional-audit-result.json","","REPORTS"
"A","reports/product-audit-v2/functional-audit-summary.md","","REPORTS"
"A","reports/product-roadmap-v3/cycle-01-runtime-qa-result.json","","REPORTS"
"A","reports/product-roadmap-v3/cycle-01-runtime-qa-summary.md","","REPORTS"
"A","reports/product-roadmap-v3/cycle-02-finance-workflow-matrix.csv","","REPORTS"
"A","reports/product-roadmap-v3/cycle-02-finance-workflow-result.json","","REPORTS"
"A","reports/product-roadmap-v3/cycle-02-finance-workflow-summary.md","","REPORTS"
"A","reports/product-roadmap-v3/cycle-03-dashboard-matrix.csv","","REPORTS"
"A","reports/product-roadmap-v3/cycle-03-dashboard-result.json","","REPORTS"
"A","reports/product-roadmap-v3/cycle-03-dashboard-summary.md","","REPORTS"
"A","reports/product-roadmap-v3/cycle-04-student-experience-matrix.csv","","REPORTS"
"A","reports/product-roadmap-v3/cycle-04-student-experience-result.json","","REPORTS"
"A","reports/product-roadmap-v3/cycle-04-student-experience-summary.md","","REPORTS"
"A","reports/product-roadmap-v3/cycle-05-observability-admin-matrix.csv","","REPORTS"
"A","reports/product-roadmap-v3/cycle-05-observability-admin-result.json","","REPORTS"
"A","reports/product-roadmap-v3/cycle-05-observability-admin-summary.md","","REPORTS"
"A","reports/product-roadmap-v3/cycle-06-performance-hardening-matrix.csv","","REPORTS"
"A","reports/product-roadmap-v3/cycle-06-performance-hardening-result.json","","REPORTS"
"A","reports/product-roadmap-v3/cycle-06-performance-hardening-summary.md","","REPORTS"
"A","reports/product-roadmap-v3/roadmap-summary.md","","REPORTS"
"A","reports/product-roadmap-v3/roadmap-v3-closeout-result.json","","REPORTS"
"A","reports/product-roadmap-v3/roadmap-v3-closeout-summary.md","","REPORTS"
"A","reports/product-roadmap-v3/roadmap.json","","REPORTS"
"M","reports/supabase-local-bootstrap/preflight-summary.json","","REPORTS"
"A","reports/supabase-production-sync/authenticated-table-grant-precommit-review.csv","","REPORTS"
"A","reports/supabase-production-sync/constraint-nullability-result.json","","REPORTS"
"A","reports/supabase-production-sync/constraint-nullability-scope.json","","REPORTS"
"A","reports/supabase-production-sync/constraint-nullability-scope.md","","REPORTS"
"A","reports/supabase-production-sync/constraint-nullability-summary.md","","REPORTS"
"A","reports/supabase-production-sync/constraint-phase2-scope.csv","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-checklist.md","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-critical-data-inventory.json","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-critical-data-inventory.md","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-evidence-template.json","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-evidence-template.md","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-preparation-result.json","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-preparation-summary.md","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-verification-evidence.json","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-verification-evidence.md","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-verification-result.json","","REPORTS"
"A","reports/supabase-production-sync/cutover-backup-verification-summary.md","","REPORTS"
"A","reports/supabase-production-sync/cutover-restore-readiness.md","","REPORTS"
"A","reports/supabase-production-sync/db-push-dry-run-result.json","","REPORTS"
"A","reports/supabase-production-sync/db-push-dry-run-summary.md","","REPORTS"
"A","reports/supabase-production-sync/final-ci-cd-review-result.json","","REPORTS"
"A","reports/supabase-production-sync/final-ci-cd-review-summary.md","","REPORTS"
"A","reports/supabase-production-sync/final-security-drift-result.json","","REPORTS"
"A","reports/supabase-production-sync/final-security-drift-scope.json","","REPORTS"
"A","reports/supabase-production-sync/final-security-drift-summary.md","","REPORTS"
"A","reports/supabase-production-sync/function-configuration-review.json","","REPORTS"
"A","reports/supabase-production-sync/function-configuration-review.md","","REPORTS"
"A","reports/supabase-production-sync/function-difference-review.json","","REPORTS"
"A","reports/supabase-production-sync/function-difference-review.md","","REPORTS"
"A","reports/supabase-production-sync/function-grant-review.json","","REPORTS"
