cycle,finding,route,page,viewport,runtime_available,document_overflow,allowed_internal_scroll,status,notes
02,F-003,/,Dashboard,320x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/alunos,Alunos,320x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/treinos,Treinos,320x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/avaliacoes,Avaliacoes,320x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/planos,Planos,320x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/financeiro,Financeiro,320x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/logs,Admin logs,320x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/usuarios,Admin usuarios,320x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/,Dashboard,360x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/alunos,Alunos,360x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/treinos,Treinos,360x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/avaliacoes,Avaliacoes,360x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/planos,Planos,360x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/financeiro,Financeiro,360x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/logs,Admin logs,360x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
